Speciality,Year_of_experience,Location,City,dp_score,consultation_fee,npv(votes),Degree
Dietitian/Nutritionist,4,Koramangala 7 Block,Bangalore,100,600,40,BSc
Dietitian/Nutritionist,14,Bandra West,Mumbai,96,2500,222,BSc
Dietitian/Nutritionist,16,Kandivali West,Mumbai,99,0,96,BSc
Dietitian/Nutritionist,15,Koramangala 3 Block,Bangalore,97,1770,270,BSc
Dietitian/Nutritionist,1,Koramangala 5 Block,Bangalore,99,600,121,BSc
Dietitian/Nutritionist,14,Basaveshwaranagar,Bangalore,97,850,117,BSc
Dietitian/Nutritionist,15,Vasant Kunj,Delhi,99,300,1589,BAMS
Dietitian/Nutritionist,23,Malleswaram,Bangalore,100,1000,106,BAMS
Dietitian/Nutritionist,27,Malviya Nagar,Delhi,96,500,113,BAMS
Dietitian/Nutritionist,23,Dwarka,Delhi,99,1000,289,BAMS
Dietitian/Nutritionist,22,Dwarka,Delhi,99,1000,164,BAMS
Dietitian/Nutritionist,19,Pitampura,Delhi,96,500,256,BAMS
Dentist,33,HSR Layout,Bangalore,92,500,61,BDS
Dentist,17,HSR Layout,Bangalore,98,500,948,BDS
Dentist,14,Jayanagar 4 Block,Bangalore,99,400,102,BDS
Dentist,31,HSR Layout,Bangalore,100,700,32,BDS
Dentist,22,Sarjapur Road,Bangalore,97,500,331,BDS
Dentist,22,Sarjapur Road,Bangalore,100,500,470,BDS
Dentist,30,HSR Layout,Bangalore,100,500,470,BDS
Dentist,17,Electronics City,Bangalore,100,700,470,BDS
Dentist,19,Sarjapur Road,Bangalore,99,500,165,BDS
Dentist,27,Basavanagudi,Bangalore,97,450,232,BDS
Dentist,14,Banaswadi,Bangalore,100,400,180,BDS
Dentist,25,Koramangala 5 Block,Bangalore,98,600,44,BDS
Dentist,13,HSR Layout,Bangalore,100,250,1103,BDS
Dentist,18,JP Nagar 6 Phase,Bangalore,100,300,211,BDS
Dentist,13,JP Nagar 6 Phase,Bangalore,100,350,18,BDS
Dentist,24,Mahadevapura,Bangalore,98,350,586,BDS
Dentist,28,Seegehalli,Bangalore,94,400,89,BDS
Dentist,27,Whitefield,Bangalore,97,500,563,BDS
Dentist,25,Sadashivanagar,Bangalore,99,500,694,BDS
Dentist,21,Rajajinagar,Bangalore,96,300,122,BDS
Dentist,24,Indiranagar,Bangalore,98,300,117,BDS
Dentist,28,HSR Layout,Bangalore,94,400,306,BDS
Dentist,19,JP Nagar,Bangalore,99,350,265,BDS
Dentist,23,Horamavu,Bangalore,99,400,85,BDS
Dentist,23,Jayanagar 7 Block,Bangalore,100,500,293,BDS
Dentist,11,Kasturi nagar,Bangalore,96,200,108,BDS
Dentist,19,Indiranagar,Bangalore,96,500,447,BDS
Dentist,25,Domlur,Bangalore,93,600,230,BDS
Dentist,20,Koramangala,Bangalore,99,500,2740,BDS
Dentist,25,Electronics City,Bangalore,94,500,201,BDS
Dentist,24,West Of Chord Road,Bangalore,97,350,226,BDS
Dentist,9,Varthur,Bangalore,100,200,155,BDS
Dentist,13,Murugeshpalya,Bangalore,99,300,136,BDS
Dentist,14,Electronics City,Bangalore,99,350,247,BDS
Dentist,20,Indiranagar,Bangalore,94,500,884,BDS
Dentist,17,Singasandra,Bangalore,100,500,505,BDS
Dentist,12,HSR Layout,Bangalore,97,300,61,BDS
Dentist,21,HSR Layout,Bangalore,100,500,37,BDS
Dentist,8,Yelahanka,Bangalore,100,350,19,BDS
Dentist,11,Sarjapur Road,Bangalore,99,500,185,BDS
Dentist,18,Sarjapur Road,Bangalore,99,400,107,BDS
Dentist,18,Indiranagar,Bangalore,96,500,257,BDS
Dentist,7,HAL 2nd Stage,Bangalore,96,500,23,BDS
Dentist,14,Hegde Nagar,Bangalore,96,500,27,BDS
Dentist,28,Bannerghatta Road,Bangalore,91,500,768,BDS
Dentist,19,HSR Layout,Bangalore,97,600,1512,BDS
Dentist,17,HSR Layout,Bangalore,99,300,180,BDS
Dentist,28,Bellandur,Bangalore,96,400,1827,BDS
Dentist,28,Chandra Layout,Bangalore,98,300,81,BDS
Dentist,44,Bannerghatta Road,Bangalore,91,200,167,BDS
Dentist,25,Bellandur,Bangalore,92,400,52,BDS
Dentist,15,Sarjapur Road,Bangalore,100,350,73,BDS
Dentist,27,Bannerghatta Road,Bangalore,97,300,64,BDS
Dentist,21,Rajajinagar,Bangalore,99,300,188,BDS
Dentist,16,Vidyaranyapura,Bangalore,100,250,15,BDS
Dentist,30,BTM Layout 2nd Stage,Bangalore,99,400,1295,BDS
Dentist,12,Banaswadi,Bangalore,94,500,16,BDS
Dentist,15,Hennur,Bangalore,98,300,90,BDS
Dentist,13,JP Nagar 5 Phase,Bangalore,98,300,311,BDS
Dentist,18,Kasturi nagar,Bangalore,98,400,110,BDS
Dentist,21,Richmond Town,Bangalore,100,300,114,BDS
Dentist,16,Indiranagar,Bangalore,100,500,15,BDS
Dentist,12,CV Raman Nagar,Bangalore,99,400,413,BDS
Dentist,23,Hennur,Bangalore,97,500,95,BDS
Dentist,23,Banashankari 1st Stage,Bangalore,98,300,50,BDS
Dentist,11,Bellandur,Bangalore,98,400,44,BDS
Dentist,21,JP Nagar 2 Phase,Bangalore,95,500,895,BDS
Dentist,15,Jalahalli,Bangalore,100,300,55,BDS
Dentist,24,BTM Layout 2nd Stage,Bangalore,97,500,117,BDS
Dentist,9,KR Puram,Bangalore,100,200,507,BDS
Dentist,27,Ulsoor,Bangalore,98,500,45,BDS
Dentist,21,Sahakaranagar,Bangalore,99,400,807,BDS
Dentist,15,Horamavu,Bangalore,99,400,209,BDS
Dentist,15,RT Nagar,Bangalore,99,300,184,BDS
Dentist,34,Vijayanagar,Bangalore,99,500,238,BDS
Dentist,13,Whitefield,Bangalore,95,500,20,BDS
Dentist,20,Kundalahalli,Bangalore,98,350,100,BDS
Dentist,21,RT Nagar,Bangalore,100,400,39,BDS
Dentist,14,KR Puram,Bangalore,97,300,355,BDS
Dentist,28,Ulsoor,Bangalore,100,600,31,BDS
Dentist,17,Horamavu,Bangalore,99,400,116,BDS
Dentist,17,Banashankari 3rd Stage,Bangalore,97,300,294,BDS
