Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Ms. Priyanka Wincy R,Dietitian/Nutritionist,B.Sc.,4 Years Experience Overall,"Koramangala 7 Block, Bangalore",Bangalore,100%,(40 votes),₹ 600 fee
Ms. Neha Ranglani,Dietitian/Nutritionist,B.Sc.,14 Years Experience Overall  (13 years as specialist),"Bandra West, Mumbai",Mumbai,96%,(222 votes),₹ 2500 fee
Ms. Sonal Bhosale,Dietitian/Nutritionist,B.Sc.,16 Years Experience Overall  (10 years as specialist),"Kandivali West, Mumbai",Mumbai,99%,(96 votes),₹ 0 fee
Ms. Silky Mahajan,Dietitian/Nutritionist,B.Sc.,15 Years Experience Overall,"Koramangala 3 Block, Bangalore",Bangalore,97%,(270 votes),₹ 1770 fee
Ms. Twincy Ann Sunil,Dietitian/Nutritionist,B.Sc.,1 Year Experience Overall,"Koramangala 5 Block, Bangalore",Bangalore,99%,(121 votes),₹ 600 fee
Dr. Keerthi Shree Kirisave   (PhD),Dietitian/Nutritionist,B.Sc.,14 Years Experience Overall,"Basaveshwaranagar, Bangalore",Bangalore,97%,(117 votes),₹ 850 fee
Dr. Sunita Choudhary,Dietitian/Nutritionist,BAMS,15 Years Experience Overall  (1 year as specialist),"Vasant Kunj, Delhi",Delhi,99%,(1589 votes),₹ 300 fee
Dr. Sharmila Shankar,Dietitian/Nutritionist,BAMS,23 Years Experience Overall  (19 years as specialist),"Malleswaram, Bangalore",Bangalore,100%,(106 votes),₹ 1000 fee
Dr. Praveen Rustagi,Dietitian/Nutritionist,BAMS,27 Years Experience Overall  (26 years as specialist),"Malviya Nagar, Delhi",Delhi,96%,(113 votes),₹ 500 fee
Dr. Sugeeta Mutreja,Dietitian/Nutritionist,BAMS,23 Years Experience Overall  (7 years as specialist),"Dwarka, Delhi",Delhi,99%,(289 votes),₹ 1000 fee
Dr. Anjana Kalia,Dietitian/Nutritionist,BAMS,22 Years Experience Overall  (5 years as specialist),"Dwarka, Delhi",Delhi,99%,(164 votes),₹ 1000 fee
Dr. Shilpa,Dietitian/Nutritionist,BAMS,19 Years Experience Overall  (18 years as specialist),"Pitampura, Delhi",Delhi,96%,(256 votes),₹ 500 fee
Dr. Shambulinga,Dentist,BDS,33 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,92%,(61 votes),₹ 500 fee
Dr. Minty Sharma,Dentist,BDS,17 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,98%,(948 votes),₹ 500 fee
Dr. Sindhu S Kumar,Dentist,BDS,14 Years Experience Overall,"Jayanagar 4 Block, Bangalore",Bangalore,99%,(102 votes),₹ 400 fee
Dr. Mini Naik,Dentist,BDS,31 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(32 votes),₹ 700 fee
Dr. Prabhu Dev P,Dentist,BDS,22 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,97%,(331 votes),₹ 500 fee
